OBJECTID,ntd_id,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type_text,route_url,route_color,route_color_formatted,route_text_color,route_text_color_formatted,download_date,Shape__Length
34805,40022,124187,23599,MARTA,40,Peachtree Street / Downtown,,3,Bus,https://itsmarta.com/40.aspx,ffff00,"(255, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.0824747798301368
34806,40022,124194,23601,MARTA,47,I-85 Access Road,,3,Bus,https://itsmarta.com/47.aspx,ff8080,"(255, 128, 128)",0,"(0, 0, 0)",12/02/2024,0.136535059920862
34807,40022,124195,23601,MARTA,47,I-85 Access Road,,3,Bus,https://itsmarta.com/47.aspx,ff8080,"(255, 128, 128)",0,"(0, 0, 0)",12/02/2024,0.162316897874319
34808,40022,124200,23603,MARTA,50,Donald Lee Hollowell Parkway,,3,Bus,https://itsmarta.com/50.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.136160379935024
34809,40022,124201,23603,MARTA,50,Donald Lee Hollowell Parkway,,3,Bus,https://itsmarta.com/50.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.130732710639474
34810,40022,124202,23603,MARTA,50,Donald Lee Hollowell Parkway,,3,Bus,https://itsmarta.com/50.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.137507384061621
34811,40022,124203,23603,MARTA,50,Donald Lee Hollowell Parkway,,3,Bus,https://itsmarta.com/50.aspx,00ff00,"(0, 255, 0)",0,"(0, 0, 0)",12/02/2024,0.131941746210077
34812,40022,124204,23604,MARTA,51,Joseph E Boone Boulevard,,3,Bus,https://itsmarta.com/51.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.111861062497276
34813,40022,124205,23604,MARTA,51,Joseph E Boone Boulevard,,3,Bus,https://itsmarta.com/51.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.111999637930259
34814,40022,124206,23604,MARTA,51,Joseph E Boone Boulevard,,3,Bus,https://itsmarta.com/51.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.109537632854929
34815,40022,124207,23604,MARTA,51,Joseph E Boone Boulevard,,3,Bus,https://itsmarta.com/51.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.109657044041777
34816,40022,124210,23606,MARTA,58,Hollywood Road / Lucile Avenue,,3,Bus,https://itsmarta.com/58.aspx,a6caf0,"(166, 202, 240)",0,"(0, 0, 0)",12/02/2024,0.147203632012601
34817,40022,124211,23606,MARTA,58,Hollywood Road / Lucile Avenue,,3,Bus,https://itsmarta.com/58.aspx,a6caf0,"(166, 202, 240)",0,"(0, 0, 0)",12/02/2024,0.139266449574019
34818,40022,124212,23606,MARTA,58,Hollywood Road / Lucile Avenue,,3,Bus,https://itsmarta.com/58.aspx,a6caf0,"(166, 202, 240)",0,"(0, 0, 0)",12/02/2024,0.147497693957745
34819,40022,124213,23606,MARTA,58,Hollywood Road / Lucile Avenue,,3,Bus,https://itsmarta.com/58.aspx,a6caf0,"(166, 202, 240)",0,"(0, 0, 0)",12/02/2024,0.139560617960844
34820,40022,124214,23607,MARTA,60,Hightower Road,,3,Bus,https://itsmarta.com/60.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.0933590557380067
34821,40022,124215,23607,MARTA,60,Hightower Road,,3,Bus,https://itsmarta.com/60.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.104157677980407
34822,40022,124216,23608,MARTA,66,Lynhurst Drive / Princeton Lakes,,3,Bus,https://itsmarta.com/66.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.22035480719006
34823,40022,124217,23608,MARTA,66,Lynhurst Drive / Princeton Lakes,,3,Bus,https://itsmarta.com/66.aspx,00ffff,"(0, 255, 255)",0,"(0, 0, 0)",12/02/2024,0.215777220384232
34824,40022,124218,23609,MARTA,68,Benjamin E Mays Drive,,3,Bus,https://itsmarta.com/68.aspx,ff0000,"(255, 0, 0)",0,"(0, 0, 0)",12/02/2024,0.17904283678319
34825,40022,124219,23609,MARTA,68,Benjamin E Mays Drive,,3,Bus,https://itsmarta.com/68.aspx,ff0000,"(255, 0, 0)",0,"(0, 0, 0)",12/02/2024,0.18764886974948
34826,40022,124220,23610,MARTA,71,Cascade Road,,3,Bus,https://itsmarta.com/71.aspx,ff8080,"(255, 128, 128)",0,"(0, 0, 0)",12/02/2024,0.146088245287554
